heap;n;time;operation
binary;10;47;remove
binomial;10;129;remove
leftist;10;109;remove
pairing;10;103;remove
skew;10;85;remove
binary;100;1356;remove
binomial;100;1713;remove
leftist;100;1520;remove
pairing;100;6836;remove
skew;100;1670;remove
binary;500;31618;remove
binomial;500;30023;remove
leftist;500;30718;remove
pairing;500;276614;remove
skew;500;33497;remove
binary;10;16;increase
binomial;10;34;increase
leftist;10;17;increase
pairing;10;28;increase
skew;10;14;increase
binary;100;23;increase
binomial;100;149;increase
leftist;100;79;increase
pairing;100;105;increase
skew;100;100;increase
binary;500;61;increase
binomial;500;596;increase
leftist;500;521;increase
pairing;500;349;increase
skew;500;885;increase
binary;10;8;decrease
binomial;10;14;decrease
leftist;10;19;decrease
pairing;10;4;decrease
skew;10;14;decrease
binary;100;16;decrease
binomial;100;94;decrease
leftist;100;87;decrease
pairing;100;17;decrease
skew;100;83;decrease
binary;500;51;decrease
binomial;500;187;decrease
leftist;500;209;decrease
pairing;500;39;decrease
skew;500;526;decrease
